# threads, mb, seconds
1   1   0.035
1   2   0.060
1   4   0.100
1   8   0.190
1   16  0.350

2   1   0.040
2   2   0.070
2   4   0.120
2   8   0.220
2   16  0.430

4   1   0.040
4   2   0.070
4   4   0.130
4   8   0.250
4   16  0.480

8   1   0.040
8   2   0.075
8   4   0.130
8   8   0.260
8   16  0.500

16  1   0.045
16  2   0.075
16  4   0.135
16  8   0.260
16  16  0.500
